Date	Open	High	Low	Close	Adj Close	Volume
1986-09-22	3011.800049	3019.199951	3009	3019.100098	3011.43335	169700
1986-09-23	3016.100098	3016.100098	3003.5	3006.100098	2998.466309	176600
1986-09-24	3006.5	3017.5	3004.899902	3017.300049	3009.637695	184000
1986-09-25	3015	3015	2986.100098	2989.5	2981.908203	159200
1986-09-26	2985.199951	2988.5	2978	2982	2974.427246	149800
1986-09-29	2974.600098	2974.600098	2956.600098	2961.699951	2954.178955	135000
1986-09-30	2969.100098	2981.5	2968.899902	2979.300049	2971.734131	166300
1986-10-01	2983	2994.899902	2981.100098	2988.399902	2980.811035	159400
1986-10-02	2991.899902	3002	2991.899902	3002	2994.376465	168600
1986-10-03	3009.699951	3014.399902	2995.100098	2999	2991.384033	207700
1986-10-06	3005.300049	3017	3005.300049	3016.399902	3008.739746	191800
1986-10-07	3016.800049	3024.800049	3010	3024.199951	3016.519775	197500
1986-10-08	3025.800049	3047.600098	3024.5	3041.899902	3034.174805	214600
1986-10-09	3044.300049	3051.100098	3029.199951	3029.199951	3021.507324	226300
1986-10-10	3028.199951	3035.600098	3026.899902	3034	3026.29541	147300
1986-10-13	3034	3034	3034	3034	3026.29541	0
1986-10-14	3031.399902	3031.399902	3016.699951	3018.199951	3010.535645	133700
1986-10-15	2999.699951	3017.600098	2999.699951	3017.399902	3009.737305	195200
1986-10-16	3022.5	3029.699951	3021.5	3029.699951	3022.006348	178200
1986-10-17	3026.300049	3040.899902	3025.600098	3040.899902	3033.17749	179200
1986-10-20	3032	3032	3016.600098	3023.100098	3015.422852	128200
1986-10-21	3022.600098	3022.600098	3013.100098	3016.5	3008.8396	144600
1986-10-22	3019.100098	3027	3018.300049	3021.600098	3013.926758	160000
1986-10-23	3026	3026.399902	3011.300049	3014	3006.345947	169000
1986-10-24	3014.899902	3017.699951	3007.100098	3007.100098	2999.463623	190800
1986-10-27	3009.899902	3010.100098	3006.5	3009.699951	3002.057129	144200
1986-10-28	3011.600098	3016.300049	3009.399902	3012.600098	3004.949707	137300
1986-10-29	3006.600098	3013.899902	3004.899902	3011.800049	3004.151855	148400
1986-10-30	3021.899902	3026.600098	3016.699951	3026.600098	3018.914307	167300
1986-10-31	3028.100098	3041.300049	3028.100098	3038.899902	3031.182617	164100
1986-11-03	3042.5	3055.300049	3042.5	3051.5	3043.750732	147000
1986-11-04	3051.800049	3062.800049	3044.899902	3062.800049	3055.022217	167600
1986-11-05	3050.899902	3063	3050.899902	3060.699951	3052.92749	176800
1986-11-06	3062.399902	3071.5	3062.399902	3070.800049	3063.001953	169300
1986-11-07	3069.800049	3073.100098	3065.899902	3070	3062.203857	198100
1986-11-10	3072.899902	3073.600098	3064.800049	3073.600098	3065.794678	177300
1986-11-11	3076.800049	3082.5	3076.800049	3079.699951	3071.87915	181900
1986-11-12	3082.600098	3088.699951	3077.199951	3088.699951	3080.856445	219900
1986-11-13	3082.300049	3083.600098	3062	3062	3054.224121	185400
1986-11-14	3059.800049	3070.5	3058.600098	3070	3062.203857	270100
1986-11-17	3050.600098	3054.899902	3046.899902	3047.5	3039.760986	177500
1986-11-18	3047.899902	3047.899902	3018.800049	3018.800049	3011.133789	153000
1986-11-19	3012.300049	3012.300049	2995.800049	3000	2992.381592	151900
1986-11-20	3004.800049	3014.199951	3004.800049	3014.199951	3006.54541	142600
1986-11-21	3017.899902	3024.699951	3017.899902	3021.300049	3013.627686	181800
1986-11-24	3021.5	3033.5	3021.5	3028.899902	3021.208008	148600
1986-11-25	3026.899902	3030.800049	3023.300049	3025	3017.318115	203700
1986-11-26	3027	3027.100098	3022.199951	3025.100098	3017.417725	186000
1986-11-28	3037.399902	3048.399902	3037.399902	3046.800049	3039.062744	184400
1986-12-01	3046.300049	3046.899902	3035.399902	3045.100098	3037.367188	170000
1986-12-02	3048.899902	3060.5	3046.199951	3060.5	3052.727783	203100
1986-12-03	3066.899902	3073.600098	3066.199951	3070.800049	3063.001953	263000
1986-12-04	3067.399902	3076.399902	3067.399902	3072.600098	3064.797363	231800
1986-12-05	3070.800049	3073.399902	3064.699951	3067.100098	3059.311523	194600
1986-12-08	3064.899902	3064.899902	3048.100098	3052.800049	3045.047607	169700
1986-12-09	3049.800049	3049.800049	3037.300049	3038	3030.2854	197200
1986-12-10	3032.100098	3044.899902	3031.800049	3043	3035.272461	186900
1986-12-11	3041.899902	3041.899902	3032.699951	3034.899902	3027.193115	217100
1986-12-12	3038.100098	3042.5	3034.399902	3041.600098	3033.876221	209300
1986-12-15	3041.600098	3041.600098	3026.899902	3031	3023.302734	187400
1986-12-16	3033.399902	3034.600098	3029.300049	3030.600098	3022.903809	197000
1986-12-17	3031.399902	3032.899902	3028.399902	3028.399902	3020.709229	179900
1986-12-18	3030.199951	3031.199951	3026	3027.699951	3020.01123	236700
1986-12-19	3026.699951	3048.5	3026.699951	3048.5	3040.758301	210500
1986-12-22	3049.800049	3050	3039.5	3044.600098	3036.868408	198400
1986-12-23	3042.800049	3045.300049	3039.300049	3041.800049	3034.075439	160000
1986-12-24	3040.199951	3046.800049	3040.199951	3046.699951	3038.962646	88700
1986-12-29	3045.800049	3047	3042.5	3045.100098	3037.367188	89400
1986-12-30	3044.100098	3050.5	3044.100098	3050.5	3042.753174	108400
1986-12-31	3054.100098	3066.199951	3054.100098	3066.199951	3058.41333	120800
1987-01-02	3064	3068	3058.699951	3067.800049	3060.009521	65300
1987-01-06	3108.600098	3124.600098	3108.600098	3123.600098	3115.667725	228200
1987-01-07	3124	3160	3124	3155	3146.987793	252100
1987-01-08	3165.5	3179	3164.699951	3178.5	3170.428223	282600
1987-01-09	3185.300049	3209.800049	3185.300049	3208.800049	3200.651123	330600
1987-01-12	3213.300049	3244.100098	3213.300049	3243.699951	3235.462646	298400
1987-01-13	3245	3255.699951	3243.399902	3254	3245.736572	314000
1987-01-14	3262.5	3273.800049	3259.899902	3266.800049	3258.50415	398100
1987-01-15	3275.199951	3288.300049	3272.399902	3282.899902	3274.563232	353500
